name,kind,cleanliness,dev_macro_f1,dev_fit_macro_f1,final_macro_f1,accuracy_dev,accuracy_final,best_dev_macro_f1,best_epoch,task,model_name,group_mode,input_format,notes,trust_for_selection
ensemble_full23_clear_alpha0.36_fixedbias_diag,ensemble,diagnostic,0.6908289346201785,,0.627960927960928,0.717391304347826,0.7077922077922078,,,,,,,,diagnostic_post_final
ensemble_full23_clear_alpha0.37_fixedbias_diag,ensemble,diagnostic,0.6937089198392173,,0.6258141701902501,0.7202898550724638,0.7045454545454546,,,,,,,,diagnostic_post_final
ensemble_full23_clear_alpha0.3_fixedbias_diag,ensemble,diagnostic,0.6951418136621651,,0.6247262296703452,0.7217391304347827,0.7045454545454546,,,,,,,,diagnostic_post_final
ensemble_full23_clear_alpha0.4_fixedbias_diag,ensemble,diagnostic,0.6939053258241388,,0.6230211998323231,0.7202898550724638,0.7012987012987013,,,,,,,,diagnostic_post_final
ensemble_full23_clear_alpha0.5_fixedbias_diag,ensemble,diagnostic,0.6897803750103991,,0.614491235421468,0.717391304347826,0.6883116883116883,,,,,,,,diagnostic_post_final
ensemble_full23_clear_alpha1_fixedbias_diag,ensemble,diagnostic,0.6696967956439247,,0.6040093717513072,0.6985507246376812,0.6785714285714286,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0,ensemble,diagnostic,0.6937089198392173,,0.627960927960928,0.7202898550724638,0.7077922077922078,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p05,ensemble,diagnostic,0.6971415974817697,,0.621905222208007,0.7246376811594203,0.7012987012987013,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p1,ensemble,diagnostic,0.708771482699153,,0.6251700680272109,0.736231884057971,0.7045454545454546,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p2,ensemble,diagnostic,0.7188806415487771,,0.6212121212121212,0.7478260869565218,0.7012987012987013,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p3,ensemble,diagnostic,0.7408613393079412,,0.6200254144284641,0.7710144927536232,0.7012987012987013,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p35,ensemble,diagnostic,0.7478336706401708,,0.606370110233148,0.7797101449275362,0.6883116883116883,,,,,,,,diagnostic_post_final
